start job on SBATCH:i59 size9 run517 max_process:/max_trial:1000000 Thu Jun 11 23:24:07 PDT 2020
SLURM_JOB_ID:1559920 SLURM_JOB_NAME:product SLURM_JOB_DIR:/rhome/wzeng002/Documents/GitHub/concatenation
note:[n_low=9, n_high=9, k_low=1, k_high=1 sub_mode=1], sub_mode_A:, sub_mode_B:, na_input:9, n_low:9, n_high=9, data_folder:data/random4/trial517, log_file:log/product517-size9.log status_file:log/status-product517-size9.log
start: id_Gax=100,	 id_Gax_MAX=255,	 Gax_row=1
start: id_Gax=200,	 id_Gax_MAX=255,	 Gax_row=1
start: id_Gax=7600,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=7300,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=9900,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=3000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=7900,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=7000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=6000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=4700,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=4500,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=4300,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=9100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=9800,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=4100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=4900,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=9700,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=300,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=8600,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=1600,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=5100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=3900,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=8200,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=2800,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=1100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=2100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=9600,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=6700,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=3700,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=5300,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=6200,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=9000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=5500,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=7800,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=7500,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=9500,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=600,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=2600,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=8500,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=3500,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=6400,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=8100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=1400,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=6900,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=5700,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=1900,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=3300,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=8900,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=10400,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=9400,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=900,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=5900,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=10300,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=7200,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=2400,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=7700,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=8400,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=8800,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=6600,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=9300,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=7400,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=3100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=4600,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=4800,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=6100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=8000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=7100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=5000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=400,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=4200,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=10100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=4400,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=1200,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=2900,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=10000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=4000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=1700,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=5200,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=10200,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=2200,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=11000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=8700,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=6800,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=5400,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=3800,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=6300,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=8300,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=9200,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=11100,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=5600,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=700,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=2700,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=12000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=3600,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=1500,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=2000,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=6500,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=5800,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=200,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=12800,	 id_Gax_MAX=16383,	 Gax_row=2
start: id_Gax=11300,	 id_Gax_MAX=16383,	 Gax_row=2
